input_query	input_icd10	mapped_trait_id	mapped_trait_label	note	decision_reason
ICD10 R19: Other symptoms and signs involving the digestive system and abdomen	R19	MONDO_0004335	digestive system disorder	pmid34662886_manual_better_row_15	manual_anchor_token_match_exceeds_current
ICD10 C44: Other and unspecified malignant neoplasm of skin (Gene-based burden)	C44	MONDO_0002531	skin neoplasm	pmid34662886_manual_better_row_103	manual_unique_id_with_strong_query_similarity_gain
ICD10 C44.3: Other and unspecified malignant neoplasm of skin of other and unspecified parts of face (Gene-based burden)	C44.3	MONDO_0002531	skin neoplasm	pmid34662886_manual_better_row_109	manual_unique_id_with_strong_query_similarity_gain
ICD10 C44.4: Other and unspecified malignant neoplasm of skin of scalp and neck (Gene-based burden)	C44.4	MONDO_0002531	skin neoplasm	pmid34662886_manual_better_row_111	manual_unique_id_with_strong_query_similarity_gain
ICD10 C44.5: Other and unspecified malignant neoplasm of skin of trunk (Gene-based burden)	C44.5	MONDO_0002531	skin neoplasm	pmid34662886_manual_better_row_113	manual_unique_id_with_strong_query_similarity_gain
ICD10 J22: Unspecified acute lower respiratory infection	J22	MONDO_0000270	lower respiratory tract disorder	pmid34662886_manual_better_row_161	manual_unique_id_with_strong_query_similarity_gain
ICD10 F10: Alcohol related disorders (Gene-based burden)	F10	MONDO_0021698	alcohol-related disorders	pmid34662886_manual_better_row_278	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI9 concept interpolation - tall (UKB data field 5556) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_528	current_generic_manual_more_specific
ICD10 C16: Malignant neoplasm of stomach (Gene-based burden)	C16	MONDO_0021085	gastric neoplasm	pmid34662886_manual_better_row_581	manual_unique_id_with_strong_query_similarity_gain
ICD10 C44.4: Other and unspecified malignant neoplasm of skin of scalp and neck	C44.4	MONDO_0002531	skin neoplasm	pmid34662886_manual_better_row_652	manual_unique_id_with_strong_query_similarity_gain
ICD10 C16: Malignant neoplasm of stomach	C16	MONDO_0021085	gastric neoplasm	pmid34662886_manual_better_row_672	manual_unique_id_with_strong_query_similarity_gain
ICD10 J02.9: Acute pharyngitis, unspecified	J02.9	MONDO_0020600	acute pharyngitis	pmid34662886_manual_better_row_741	manual_unique_id_with_strong_query_similarity_gain
ICD10 S42: fracture clavicle collar bone	S42	EFO_0009614	clavicle fracture	pmid34662886_manual_better_row_920	manual_unique_id_with_strong_query_similarity_gain
ICD10 I20.0: Unstable angina	I20.0	EFO_0003913	angina pectoris	pmid34662886_manual_better_row_1020	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI7 synonym - cease (UKB data field 5001) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_1036	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI7 synonym - close (UKB data field 20177) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_1038	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI7 synonym - close (UKB data field 5001) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_1040	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI7 synonym - pause (UKB data field 20177) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_1042	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI7 synonym - pause (UKB data field 5001) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_1044	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI7 synonym - rest (UKB data field 5001) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_1046	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI8 chained arithmetic - 25 (UKB data field 20179) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_1048	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI8 chained arithmetic - 26 (UKB data field 20179) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_1050	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI8 chained arithmetic - 27 (UKB data field 20179) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_1052	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI8 chained arithmetic - 28 (UKB data field 20179) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_1054	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI8 chained arithmetic - 29 (UKB data field 20179) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_1056	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI8 chained arithmetic - 25 (UKB data field 5012) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_1058	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI8 chained arithmetic - 26 (UKB data field 5012) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_1060	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI8 chained arithmetic - 27 (UKB data field 5012) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_1062	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI8 chained arithmetic - 28 (UKB data field 5012) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_1064	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI8 chained arithmetic - 29 (UKB data field 5012) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_1066	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI9 concept interpolation - long (UKB data field 20181) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_1068	current_generic_manual_more_specific
Cognitive function - FI9 concept interpolation - long (UKB data field 5556) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_1071	current_generic_manual_more_specific
Cognitive function - FI9 concept interpolation - metres (UKB data field 20181) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_1072	current_generic_manual_more_specific
Cognitive function - FI9 concept interpolation - metres (UKB data field 5556) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_1074	current_generic_manual_more_specific
Cognitive function - FI9 concept interpolation - tall (UKB data field 20181) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_1075	current_generic_manual_more_specific
ICD10 F10: Alcohol related disorders	F10	MONDO_0021698	alcohol-related disorders	pmid34662886_manual_better_row_1151	manual_unique_id_with_strong_query_similarity_gain
